site	head.width
Barnard.KS	3.394
Barnard.KS	3.547
Barnard.KS	3.354
Barnard.KS	3.813
Barnard.KS	3.574
Barnard.KS	3.357
Barnard.KS	3.604
Barnard.KS	3.652
Barnard.KS	3.621
Barnard.KS	3.454
Barnard.KS	3.798
Barnard.KS	3.586
Barnard.KS	3.395
Barnard.KS	3.094
Barnard.KS	3.725
Roswell.NM	3.685
Roswell.NM	3.691
Roswell.NM	3.893
Roswell.NM	3.867
Roswell.NM	3.819
Roswell.NM	3.888
Roswell.NM	3.859
Roswell.NM	3.710
Roswell.NM	3.274
Roswell.NM	3.825
Roswell.NM	3.682
Roswell.NM	3.661
Roswell.NM	3.384
Roswell.NM	3.593
Roswell.NM	3.782
NE	3.880
NE	3.710
NE	3.767
NE	3.716
NE	3.562
NE	3.674
NE	3.676
NE	3.715
NE	3.850
NE	3.811
NE	3.703
NE	3.693
NE	3.803
NE	3.787
NE	3.642
Talmo.KS	3.604
Talmo.KS	3.784
Talmo.KS	3.853
Talmo.KS	3.704
Talmo.KS	3.871
Talmo.KS	3.790
Talmo.KS	3.620
Talmo.KS	3.780
Talmo.KS	3.533
Talmo.KS	3.964
Talmo.KS	4.057
Talmo.KS	3.661
Talmo.KS	3.547
Talmo.KS	3.819
Talmo.KS	3.700
Okeene.OK	4.081
Okeene.OK	3.732
Okeene.OK	3.837
Okeene.OK	3.742
Okeene.OK	3.632
Okeene.OK	3.765
Okeene.OK	3.480
Okeene.OK	3.947
Okeene.OK	3.760
Okeene.OK	4.048
Okeene.OK	3.806
Okeene.OK	3.637
Okeene.OK	3.825
Okeene.OK	3.605
Okeene.OK	3.559
Kackley.KS	3.788
Kackley.KS	3.688
Kackley.KS	3.748
Kackley.KS	3.758
Kackley.KS	3.668
Kackley.KS	3.671
Kackley.KS	3.730
Kackley.KS	3.908
Kackley.KS	3.541
Kackley.KS	3.829
Kackley.KS	3.793
Kackley.KS	3.892
Kackley.KS	3.707
Kackley.KS	3.798
Kackley.KS	3.784
Mayfield.OK	3.684
Mayfield.OK	4.006
Mayfield.OK	3.997
Mayfield.OK	3.913
Mayfield.OK	4.076
Mayfield.OK	3.887
Mayfield.OK	3.549
Mayfield.OK	3.679
Mayfield.OK	3.559
Mayfield.OK	3.697
Mayfield.OK	3.670
Mayfield.OK	3.792
Mayfield.OK	3.617
Mayfield.OK	3.813
Mayfield.OK	3.664
Stafford.KS	4.066
Stafford.KS	3.935
Stafford.KS	3.959
Stafford.KS	3.893
Stafford.KS	4.056
Stafford.KS	3.765
Stafford.KS	3.787
Stafford.KS	4.024
Stafford.KS	3.763
Stafford.KS	3.819
Stafford.KS	3.796
Stafford.KS	3.805
Stafford.KS	3.810
Stafford.KS	3.907
Stafford.KS	3.823
