displacement hp drive weight mpghw mpgcity front.id rear.id
122     132     front   2875    40.5    26.1    1       0      
150     125     rear    3375    27.5    19.9    0       1      
150     120     rear    3625    33.8    24.1    0       1      
150     120     4-wheel 3625    25.3    19.8    0       0      
239     175     rear    4500    21.6    16.9    0       1      
239     175     rear    4500    24.7    16.4    0       1      
242     190     4-wheel 3750    26.6    17.2    0       0      
242     195     rear    4000    27.0    17.7    0       1      
242     195     4-wheel 4250    26.9    18.3    0       0      
318     220     4-wheel 4500    21.2    14.7    0       0      
318     230     4-wheel 5000    21.3    14.4    0       0      
318     220     4-wheel 6000    21.0    13.5    0       0      
121     104     front   2750    43.6    30.6    1       0      
121     125     front   3125    43.7    27.3    1       0      
121     125     front   3125    39.8    25.7    1       0      
180     150     front   3625    36.0    21.7    1       0      
231     190     rear    3375    37.1    21.9    0       1      
281     210     rear    4250    31.1    19.0    0       1      
153     118     rear    3500    35.0    24.6    0       1      
232     200     front   4000    29.0    19.7    1       0      
244     145     rear    4000    29.0    19.7    0       1      
244     160     4-wheel 4250    26.3    18.6    0       0      
244     160     4-wheel 4500    25.2    17.2    0       0      
244     160     4-wheel 4000    26.2    18.4    0       0      
244     190     rear    4500    25.8    17.0    0       1      
256     205     rear    5500    22.8    15.2    0       1      
256     205     rear    4250    24.6    17.3    0       1      
256     205     rear    5000    23.6    15.7    0       1      
256     205     4-wheel 4750    22.8    16.4    0       0      
280     215     rear    5500    22.4    14.8    0       1      
280     220     rear    5250    23.2    14.8    0       1      
280     215     4-wheel 6000    20.5    13.7    0       0      
280     220     4-wheel 5500    20.8    14.0    0       0      
330     300     rear    5500    22.1    14.4    0       1      
204     170     front   3375    35.6    22.1    1       0      
212     215     front   3750    34.5    20.6    1       0      
346     345     rear    3625    31.5    18.5    0       1      
346     310     rear    3875    30.8    19.9    0       1      
181     200     rear    4250    31.3    19.9    0       1      
116     100     front   2625    47.3    30.2    1       0      
116     100     front   2750    48.6    31.1    1       0      
204     185     front   4000    31.9    19.6    1       0      
350     255     4-wheel 5500    19.6    13.7    0       0      
