County	lat	long	pop.dens	house.dens	rd.dens	deer.total
Alamance	36.04370988	-79.39942482	347.834	153.227	3.804	2578
Alexander	35.92102631	-81.17702685	141.217	61.459	3.001	944
Alleghany	36.49127044	-81.12785934	47.288	34.312	3.057	2465
Anson	34.97378944	-80.10271203	50.184	21.557	1.985	3360
Ashe	36.4344247	-81.5005212	63.741	40.519	2.751	2683
Avery	36.07660503	-81.92260137	71.907	56.121	3.57	664
Beaufort	35.48698382	-76.84531441	49.571	25.625	1.314	3124
Bertie	36.0656302	-76.96671214	28.711	13.251	1.046	4348
Bladen	34.61458733	-78.56364931	39.652	19.964	1.279	3082
Brunswick	34.03887558	-78.22740716	120.21	86.698	2.373	1873
Buncombe	35.61117789	-82.53010706	361.256	171.845	4.857	448
Burke	35.74961064	-81.70477847	176.813	79.505	2.861	1400
Cabarrus	35.38679404	-80.55185089	488.442	197.387	4.426	1466
Caldwell	35.95303793	-81.54643665	174.972	79.361	2.702	1012
Camden	36.34112162	-76.1609504	32.163	13.226	0.884	389
Carteret	34.86125981	-76.53574307	63.972	46.369	0.965	781
Caswell	36.39327422	-79.33352348	55.366	24.787	1.49	2950
Catawba	35.66204235	-81.21507056	370.952	163.143	4.671	1378
Chatham	35.70257213	-79.25527586	89.589	40.563	2.254	2811
Cherokee	35.13385745	-84.06344423	58.823	37.541	2.583	301
Chowan	36.12656154	-76.60213037	63.317	31.199	1.795	1088
Clay	35.05718113	-83.75017671	47.965	32.348	2.128	172
Cleveland	35.3341018	-81.55554714	209.441	92.621	3.492	1445
Columbus	34.26564508	-78.65503087	60.873	27.286	1.631	2371
Craven	35.11768582	-77.08200384	133.929	58.23	1.61	2598
Cumberland	35.04861194	-78.82756077	485.718	206.074	3.832	1224
Currituck	36.36729948	-75.9369492	52.95	32.501	1.08	669
Dare	35.66493669	-75.68523331	27.577	27.229	0.679	245
Davidson	35.79335249	-80.21274878	286.99	128.018	4.444	1719
Davie	35.92911087	-80.54446365	154.733	68.429	2.96	1278
Duplin	34.93653484	-77.93302775	71.347	31.375	1.891	3231
Durham	36.03602992	-78.87659269	896.984	402.982	5.732	933
Edgecombe	35.91288067	-77.59705889	111.585	49.009	2.15	2761
Forsyth	36.13061955	-80.25630002	850.467	380.456	6.495	1167
Franklin	36.08277335	-78.28569658	122.574	53.74	2.375	3035
Gaston	35.29434895	-81.18024163	567.085	244.036	5.724	1276
Gates	36.44494357	-76.70052665	35.271	15.06	1.13	1848
Graham	35.35017195	-83.8335818	29.383	19.664	1.414	55
Granville	36.30406983	-78.65271943	111.443	42.458	2.006	2647
Greene	35.48499572	-77.67576267	79.964	30.744	1.998	889
Guilford	36.07947173	-79.78890427	742.714	331.536	5.822	1652
Halifax	36.25744855	-77.65173298	74.888	35.302	1.696	5229
Harnett	35.36862916	-78.86941252	190.748	77.729	2.877	1478
Haywood	35.55605571	-82.98217297	106.49	63.051	3.344	129
Henderson	35.3362263	-82.47994638	284.561	145.853	4.898	277
Hertford	36.35863603	-76.98071478	68.441	29.506	1.511	2370
Hoke	35.01752901	-79.23729072	119.911	46.509	1.779	579
Hyde	35.40811874	-76.14496511	4.159	2.396	0.238	2264
Iredell	35.80702592	-80.87343783	266.628	115.411	3.923	2418
Jackson	35.28758663	-83.14084962	81.397	52.447	2.628	108
Johnston	35.51780693	-78.3657109	212.29	85.08	2.836	2138
Jones	35.0217248	-77.35516797	21.439	10.216	2.09	1853
Lee	35.47518642	-79.17148361	223.296	93.137	3.284	440
Lenoir	35.23877316	-77.64124863	148.269	68.376	2.685	1142
Lincoln	35.48559502	-81.22353263	256.793	110.378	3.555	1563
Macon	35.15046721	-83.42217671	65.292	48.591	2.841	512
Madison	35.85803581	-82.70575826	45.997	23.499	3.042	544
Martin	35.84321398	-77.10923227	53.663	25.63	2.258	2235
Mcdowell	35.68169247	-82.04931244	101.053	46.731	2.934	773
