site age hg
Bennett     2         0.1887927 
Bennett     1         0.1972204 
Bennett     2         0.2694266 
Bennett     2         0.2198908 
Bennett     2         0.2416585 
Bennett     4         0.3599516 
Bennett     6         0.5693245 
Bennett     5         0.2658584 
Adger       5         0.3152979 
Adger       5         0.2393209 
Adger       4         0.3352933 
Adger       9         0.5087561 
Adger       7         0.5148748 
Adger       5         0.3476399 
Adger      10         0.7467225 
Adger      10         0.8071254 
Waterville  4         0.2439348 
Waterville  5         0.2313084 
Waterville  7         0.4347334 
Waterville 10         0.3303832 
Waterville 12         0.7318456 
Waterville  6         0.3405450 
Waterville  7         0.3797449 
