trt life thorax sleep loglife
m8 35 0.64 22 1.54
m8 37 0.68 9 1.57
m8 49 0.68 49 1.69
m8 46 0.72 1 1.66
m8 63 0.72 23 1.80
m8 39 0.76 83 1.59
m8 46 0.76 23 1.66
m8 56 0.76 15 1.75
m8 63 0.76 9 1.80
m8 65 0.76 81 1.81
m8 56 0.8 12 1.75
m8 65 0.8 15 1.81
m8 70 0.8 37 1.85
m8 63 0.84 24 1.80
m8 65 0.84 26 1.81
m8 70 0.84 17 1.85
m8 77 0.84 14 1.89
m8 81 0.84 14 1.91
m8 86 0.84 6 1.93
m8 70 0.88 25 1.85
m8 70 0.88 18 1.85
m8 77 0.92 26 1.89
m8 77 0.92 24 1.89
m8 81 0.92 29 1.91
m8 77 0.94 27 1.89
a 40 0.64 18 1.60
a 37 0.7 6 1.57
a 44 0.72 19 1.64
a 47 0.72 7 1.67
a 47 0.72 16 1.67
a 47 0.76 13 1.67
a 68 0.78 35 1.83
a 47 0.8 2 1.67
a 54 0.84 35 1.73
a 61 0.84 6 1.79
a 71 0.84 15 1.85
a 75 0.84 14 1.88
a 89 0.84 18 1.95
a 58 0.88 50 1.76
a 59 0.88 25 1.77
a 62 0.88 10 1.79
a 79 0.88 33 1.90
a 96 0.88 43 1.98
a 58 0.92 35 1.76
a 62 0.92 17 1.79
a 70 0.92 27 1.85
a 72 0.92 22 1.86
a 75 0.92 16 1.88
a 96 0.92 20 1.98
a 75 0.94 37 1.88
m1 46 0.64 23 1.66
m1 42 0.68 4 1.62
m1 65 0.72 20 1.81
m1 46 0.76 42 1.66
m1 58 0.76 9 1.76
m1 42 0.8 32 1.62
m1 48 0.8 66 1.68
m1 58 0.8 28 1.76
m1 50 0.82 10 1.70
m1 80 0.82 4 1.90
m1 63 0.84 12 1.80
m1 65 0.84 17 1.81
m1 70 0.84 12 1.85
m1 70 0.84 23 1.85
m1 72 0.84 40 1.86
m1 97 0.84 18 1.99
m1 46 0.88 10 1.66
m1 56 0.88 38 1.75
m1 70 0.88 7 1.85
m1 70 0.88 23 1.85
m1 72 0.88 36 1.86
m1 76 0.88 9 1.88
m1 90 0.88 21 1.95
m1 76 0.92 62 1.88
m1 92 0.92 36 1.96
u1 21 0.68 23 1.32
u1 40 0.68 62 1.60
u1 44 0.72 28 1.64
u1 54 0.76 18 1.73
u1 36 0.78 10 1.56
u1 40 0.8 28 1.60
u1 56 0.8 22 1.75
u1 60 0.8 29 1.78
u1 48 0.84 15 1.68
u1 53 0.84 73 1.72
u1 60 0.84 10 1.78
u1 60 0.84 5 1.78
u1 65 0.84 13 1.81
u1 68 0.84 27 1.83
u1 60 0.88 20 1.78
u1 81 0.88 21 1.91
u1 81 0.88 12 1.91
u1 48 0.9 49 1.68
u1 48 0.9 17 1.68
u1 56 0.9 22 1.75
u1 68 0.9 71 1.83
u1 75 0.9 17 1.88
u1 81 0.9 10 1.91
u1 48 0.92 24 1.68
u1 68 0.92 18 1.83
u8 16 0.64 34 1.20
u8 19 0.64 6 1.28
u8 19 0.68 4 1.28
u8 32 0.72 22 1.51
u8 33 0.72 28 1.52
u8 33 0.74 31 1.52
u8 30 0.76 16 1.48
u8 42 0.76 27 1.62
u8 42 0.76 8 1.62
u8 33 0.78 32 1.52
u8 26 0.8 20 1.41
u8 30 0.8 35 1.48
u8 40 0.82 12 1.60
u8 54 0.82 14 1.73
u8 34 0.84 17 1.53
u8 34 0.84 29 1.53
u8 47 0.84 31 1.67
u8 47 0.84 6 1.67
u8 42 0.88 30 1.62
u8 47 0.88 27 1.67
u8 54 0.88 40 1.73
u8 54 0.88 19 1.73
u8 56 0.88 8 1.75
u8 60 0.88 8 1.78
u8 44 0.92 15 1.64
