Subj	First	Dominant	Off	Diff
s1	O	433	374	59
s2	O	325	325	0
s3	D	323	352	-29
s4	O	484	398	86
s5	D	308	310	-2
s6	D	368	339	29
s7	O	356	371	-15
s8	D	426	424	2
s9	D	273	212	61
s10	O	386	385	1
s11	O	348	292	56
s12	D	327	235	92
s13	D	209	210	-1
s14	O	367	350	17
s15	D	197	163	34
s16	O	167	210	-43
s17	O	371	403	-32
s18	D	216	224	-8
s19	D	259	240	19
s20	O	342	318	24
s21	O	324	271	53
s22	O	268	236	32
s23	D	270	251	19
s24	O	206	200	6
s25	D	366	308	58
s26	D	371	361	10
AA	O	345	287	58
AB	D	245	206	39
AC	D	306	281	25
AD	O	231	240	-9
AE	O	330	291	39
AF	D	282	247	35
AG	D	389	310	79
AH	D	399	379	20
AI	O	410	356	54
AJ	O	316	291	25
AK	O	223	236	-13
AL	D	292	256	36
AM	D	348	321	27
AN	D	204	183	21
AO	O	180	159	21
AP	O	188	212	-24
AQ	D	287	331	-44
AR	D	141	125	16
AS	D	387	392	-5
AT	O	180	184	-4
AU	D	360	343	17
AV	O	251	272	-21
AW	D	271	291	-20
AX	D	300	223	77
AY	D	168	163	5
AZ	O	160	171	-11
BA	O	360	385	-25
BB	O	203	199	4
BC	O	236	231	5
BD	D	211	225	-14
BE	D	330	342	-12
BF	O	171	152	19
BG	D	202	177	25
BH	O	247	235	12
BI	D	182	173	9
BJ	O	232	257	-25
BK	O	307	279	28
BL	D	292	247	45
BM	D	171	219	-48
BN	O	433	378	55
BO	D	373	357	16
BP	D	257	293	-36
BQ	O	294	325	-31
BR	O	146	121	25
BS	D	287	313	-26
BT	D	351	265	86
BU	D	338	329	9
BV	O	271	226	45
BW	O	503	453	50
BY	O	205	195	10
BZ	O	318	313	5
CA	O	209	205	4
CB	D	241	193	48
CD	D	416	427	-11
CE	D	202	209	-7
CF	O	198	216	-18
CG	D	426	375	51
CH	O	255	321	-66
CI	D	377	336	41
CJ	D	328	381	-53
CK	D	390	354	36
CL	D	337	266	71
CM	D	403	403	0
CN	D	423	339	84
CO	D	382	393	-11
CP	O	200	186	14
CQ	O	447	417	30
CR	O	342	350	-8
CS	D	364	399	-35
CT	D	406	409	-3
CU	O	241	311	-70
CV	D	396	370	26
CW	O	404	399	5
CX	O	191	171	20
CY	D	154	183	-29
s102	O	329	341	-12
s103	D	373	368	5
s104	D	289	275	14
s105	O	265	250	15
s106	D	435	413	22
s107	D	325	267	58
s108	O	282	252	30
s109	D	404	371	33
s110	O	301	313	-12
s111	O	399	399	0
s112	D	170	188	-18
s113	D	372	286	86
s114	D	240	217	23
s115	D	184	144	40
s116	D	379	359	20
s117	O	256	240	16
s118	O	172	165	7
s119	O	406	336	70
s120	D	288	278	10
s121	O	146	142	4
s122	D	197	203	-6
s123	D	417	397	20
s124	O	416	326	90
s125	O	167	162	5
s126	O	237	186	51
s127	D	399	366	33
s128	O	272	254	18
s129	O	409	412	-3
s130	O	420	369	51
s131	D	290	251	39
s132	D	286	276	10
s133	O	210	147	63
s134	O	262	244	18
s135	O	137	119	18
s136	D	235	198	37
s137	D	190	164	26
s138	O	368	313	55
s139	D	358	300	58
s140	O	283	235	48
s141	D	229	194	35
s142	O	317	287	30
s143	D	285	252	33
s144	O	372	318	54
s145	O	399	363	36
