"diet","conc","logy"
0,2.81,1.03318448334565
0,3.21,1.16627093714192
0,3.58,1.27536280041261
0,3.42,1.22964055107451
0,4.06,1.40118297361364
15,4.56,1.51732262352629
15,2.71,0.99694863489161
15,4.36,1.47247205736094
15,3.3,1.19392246847243
15,5.11,1.63119940421561
30,4.47,1.49738840862548
30,8.61,2.15292431843964
30,4.96,1.60140574073684
30,4.89,1.58719230348678
30,3.68,1.30291275218084
45,7.75,2.04769284336526
45,5.92,1.77833644889591
45,9.19,2.2181159363676
45,9.74,2.27624111765444
45,15.74,2.75620524298926
