Score	BoxOffice
48.9	1.27
78.2	0.45
39.5	0.16
42.9	0.26
79.9	0.18
57.9	0.48
35.1	0.14
50.7	1.04
62.6	1.34
63.3	0.03
38.1	1.38
75.8	0.6
43.6	0.27
48.8	0.04
78	0.65
44.8	0.22
29.2	0.09
57.7	1.33
60.6	0.85
63.3	2.43
47.3	0.23
54.3	0.21
67.3	0.3
54.8	1.01
52.9	1.35
50.6	0.21
78	0.91
62.2	0.12
45.8	0.35
40.5	1.04
52.1	1.03
58.7	0.09
31.1	0.32
61.8	0.17
52.6	0.23
63.7	0.2
37.8	1
42.5	0.34
29.5	0.26
51.3	0.1
57.2	0.02
70.3	1.73
46.1	0.46
91.2	3.4
74.9	1.1
47.3	0.82
34.8	0.05
29.3	0.06
42	0.13
57.9	0.38
48.1	0.59
35	0.05
56.7	0.38
71.9	0.67
47.9	0.31
49.9	0.3
36.3	0.13
53.6	0.14
50.3	1.06
60	0.52
53.6	0.05
67.1	0.35
55.6	0.07
44.2	0.36
56.4	0.28
41.5	0.56
30.4	0.67
84.1	0.7
48.8	0.66
59.6	0.09
50.8	0.9
59.3	0.21
94.6	0.43
70.5	0.59
45.4	0.22
44.8	0.34
36.2	0.02
87.6	0.92
68.9	0.37
55.8	0.64
64.9	0.24
33.2	0.16
89.9	0.79
37.9	0.36
54.7	0.75
64.6	0.56
71.6	0.58
65.8	0.41
48.3	0.53
67.5	0.48
62.1	0.47
63.6	0.23
67.8	3.05
54.2	0.52
55.6	0.39
65.4	0.49
55.4	1.17
50.2	1.1
81.3	1.2
57.9	0.42
62.1	0.6
55.3	0.26
75.5	1.21
65	1.12
65.6	0.34
53.1	0.43
71.3	1.5
53.1	0.31
63.3	0.3
45.3	0.74
61	1.32
54	0.34
44.8	0.2
66.5	1.06
55.2	0.48
67.8	1.1
43.2	0.66
46.9	0.2
57.1	0.43
92.2	3.61
70.1	2.82
49.7	1.39
46.2	0.22
67	0.27
29.8	0.08
40.8	0.04
62.6	0.53
60.4	0.48
86.4	0.81
42.2	0.8
42.9	0.19
69.5	0.08
63.1	0.44
46.2	0.51
38.5	0.37
43.7	0.16
53.3	0.36
60.3	0.07
32.6	0.15
72.5	2.15
