trt ocunits length
control 75 8.55
control 67 7.638
control 70 7.98
control 75 8.55
control 65 7.41
control 71 8.094
control 67 7.638
control 67 7.638
control 76 8.664
control 68 7.752
2g 57 6.498
2g 58 6.612
2g 60 6.84
2g 59 6.726
2g 62 7.068
2g 60 6.84
2g 60 6.84
2g 57 6.498
2g 59 6.726
2g 61 6.954
2f 58 6.612
2f 61 6.954
2f 56 6.384
2f 58 6.612
2f 57 6.498
2f 56 6.384
2f 61 6.954
2f 60 6.84
2f 57 6.498
2f 58 6.612
1g1f 58 6.612
1g1f 59 6.726
1g1f 58 6.612
1g1f 61 6.954
1g1f 57 6.498
1g1f 56 6.384
1g1f 58 6.612
1g1f 57 6.498
1g1f 57 6.498
1g1f 59 6.726
2s 62 7.068
2s 66 7.524
2s 65 7.41
2s 63 7.182
2s 64 7.296
2s 62 7.068
2s 65 7.41
2s 65 7.41
2s 62 7.068
2s 67 7.638
